CId,Mean,Median,P99,TMedian,TP99,Error,Count
12152,782.27,789.00,1730.00,789.00,1730.28,0.02,86.00
40543,777.20,617.00,3566.00,617.00,3566.33,0.01,917.00
1055,574.07,570.00,616.00,570.00,639.00,3.73,15.00
70087,472.50,477.00,516.00,477.00,554.00,7.36,4.00
41540,850.63,708.00,3122.00,708.06,3122.00,0.00,5154.00
40624,1150.86,1018.00,2638.50,1018.00,2639.67,0.04,991.00
50,622.61,635.00,1450.50,635.00,1452.35,0.13,263.00
41389,624.19,578.00,853.50,578.00,879.00,2.99,43.00
115,583.49,600.50,864.00,600.50,866.00,0.23,638.00
692,575.48,576.00,753.00,576.00,780.20,3.61,66.00
22105,34043.80,668.00,922765.00,667.48,922536.05,0.02,18553.00
12121,882.26,919.00,1563.50,919.00,1563.55,0.00,495.00
22033,566.00,557.00,572.00,557.00,587.00,2.62,3.00
22013,11122.80,644.00,26935.50,644.00,53199.00,97.51,5.00
12691,2338.60,635.00,1791.00,635.00,1791.00,0.00,977.00
369,874.43,667.50,1756.50,667.25,1760.78,0.24,5924.00
40995,747.56,637.00,1352.50,637.00,1364.00,0.85,16.00
385,604.57,565.00,2249.50,565.00,2904.49,29.12,79.00
238,649.20,665.00,781.50,665.00,783.00,0.19,201.00
506,803.18,676.00,1819.00,676.00,1831.64,0.69,118.00
20060,187298.52,593.00,1491671.00,593.00,1508775.32,1.15,84.00
12991,6982.94,692.00,322502.50,692.00,339740.35,5.35,497.00
451,660.37,674.00,848.00,674.00,863.08,1.78,71.00
10067,605.40,640.50,689.00,640.50,691.00,0.29,10.00
40841,589.31,626.50,1364.50,626.50,1365.42,0.07,196.00
313,2115.33,2122.00,2135.00,2122.00,2148.00,0.61,3.00
230,15154.32,615.50,640015.00,615.50,640018.60,0.00,88.00
573,574.58,569.50,666.50,569.50,679.00,1.88,12.00
11541,2444.33,1832.00,5353.50,1832.38,5353.39,0.00,32564.00
10193,702.57,685.00,814.50,685.00,819.00,0.55,7.00
40305,872.24,693.00,4106.00,693.00,4107.00,0.02,2342.00
1169,5032.12,931.00,12862.00,931.00,12865.00,0.02,25.00
12293,785.80,875.00,879.00,875.00,882.00,0.34,5.00
40576,567.67,566.00,569.00,566.00,572.00,0.53,3.00
1085,603.00,572.00,628.50,572.00,685.00,8.99,3.00
40034,1632.79,1134.00,3269.50,1134.15,3269.54,0.00,6898.00
20822,24619.49,600.00,824817.50,600.00,911293.07,10.48,427.00
41222,2671.16,746.00,3649.50,746.00,3649.51,0.00,499.00
41611,633.80,660.00,692.50,660.00,702.00,1.37,10.00
10159,2280.41,655.00,3239.00,655.00,3244.88,0.18,493.00
12949,479.00,479.00,479.00,479.00,479.00,0.00,1.00
21154,23559.54,593.00,1244064.00,593.16,1244110.23,0.00,2809.00
41616,644.46,622.00,720.00,622.00,720.84,0.12,79.00
20221,682.60,651.00,845.50,651.00,858.00,1.48,5.00
20308,550.83,556.00,580.50,556.00,586.00,0.95,6.00
40436,635.87,684.50,1467.00,684.50,1474.32,0.50,144.00
280,1401.88,644.00,1037.50,644.48,1037.95,0.04,3555.00
1006,1969.91,605.00,1770.50,604.88,1804.48,1.92,2833.00
118,578.09,580.00,863.50,580.00,866.36,0.33,374.00
91,378.18,301.00,837.00,301.00,838.32,0.16,67.00
21542,12672.65,606.00,323765.50,606.00,323796.74,0.01,236.00
40849,616.00,609.00,822.00,609.00,850.00,3.41,45.00
20890,4283.07,556.00,14535.50,556.00,14537.66,0.01,1717.00
70022,739.50,690.00,1112.00,690.00,1492.00,34.17,10.00
859,597.93,617.00,695.00,617.00,713.00,2.59,15.00
951,1360.16,732.00,2632.50,731.96,2632.19,0.01,13646.00
11219,5448.16,601.00,1777.50,600.94,1791.76,0.80,2154.00
764,705.75,603.00,1579.00,603.00,1593.58,0.92,173.00
20583,51245.88,583.50,1386109.50,583.50,1445676.60,4.30,206.00
40951,713.00,713.00,713.00,713.00,713.00,0.00,1.00
10308,37951.93,590.00,280740.50,590.00,560797.00,99.76,15.00
201,687.55,611.50,1644.00,611.50,1665.74,1.32,144.00
10705,654.28,587.00,2352.00,587.00,2407.93,2.38,103.00
21902,18590.61,564.50,1313821.50,564.50,1347589.26,2.57,492.00
20666,65154.25,583.00,1420320.50,583.00,1421760.57,0.10,457.00
10059,9398.68,508.00,436174.00,508.00,464691.44,6.54,196.00
176,707.73,727.00,864.50,727.00,865.85,0.16,73.00
70072,610.86,584.50,1465.50,584.50,1515.44,3.41,238.00
46,873.75,888.00,999.00,888.00,1027.00,2.80,4.00
2,2094.87,609.00,2240.50,609.03,2245.06,0.20,9346.00
22730,124693.27,584.00,1429512.00,584.00,1430747.98,0.09,971.00
305,598.72,593.00,1080.50,593.00,1084.79,0.40,287.00
41551,566.58,504.00,785.00,504.00,840.00,7.01,19.00
11309,633.27,635.00,768.00,635.00,833.00,8.46,15.00
452,799.27,583.00,5433.00,583.00,5446.36,0.25,196.00
22548,19195.65,572.00,966722.00,572.00,970826.10,0.42,865.00
191,606.97,626.00,1445.00,626.12,1450.60,0.39,2960.00
12803,785.74,643.00,5136.50,643.00,5702.53,11.02,227.00
301,604.12,571.00,719.00,571.00,731.60,1.75,65.00
10467,930.28,1008.50,1456.50,1008.50,1457.00,0.03,18.00
96,537.42,579.50,1005.00,579.50,1204.00,19.80,48.00
